source,target,weight
AVKR,SMBDL,3
AVKR,SMDDR,3
AVKR,SMDVR,1
AVL,AVEL,3
AVL,AVKR,2
AVL,DD01,4
AVL,DD06,1
AVL,DVB,1
AVL,DVC,2
AVL,HSNR,2
AVL,PVPR,2
AVL,PVWL,1
AVL,RIMR,2
AVL,RIS,1
AVL,SABD,9
AVL,SABVL,9
AVL,SABVR,6
AVL,VC01,2
AVL,VC02,2
AVL,VC06,1
AVL,VD12,3
AVM,ADER,4
AVM,AVBL,13
AVM,AVBR,9
AVM,AVDL,1
AVM,AVDR,1
AVM,AVHL,3
AVM,AVJR,1
AVM,AVKL,1
AVM,BDUL,3
AVM,BDUR,5
AVM,DA01,2
AVM,PVCL,10
AVM,PVCR,17
AVM,PVNL,4
AVM,PVNR,3
AVM,PVR,6
AVM,RID,2
AVM,SIBVL,4
AVM,VA02,1
AVM,VB03,1
AWAL,ADAL,2
AWAL,AFDL,7
AWAL,AIYL,3
AWAL,AIZL,23
AWAL,ASEL,7
AWAL,ASGL,1
AWAL,ASHL,2
AWAL,AWBL,9
AWAR,ADFR,9
AWAR,AFDR,23
AWAR,AIAR,3
AWAR,AIYR,8
AWAR,AIZR,25
AWAR,ASER,5
AWAR,ASGR,1
AWAR,ASIL,2
AWAR,AUAR,1
AWAR,AWBR,3
AWAR,RIFR,5
AWAR,RIGR,6
AWAR,RIR,2
AWBL,ADFL,25
AWBL,AIAL,4
AWBL,AIBR,1
AWBL,AIYL,1
AWBL,AIZL,15
AWBL,ASEL,1
AWBL,ASHL,2
AWBL,AVBL,2
AWBL,AVHR,2
AWBL,AWAL,2
AWBL,AWCL,1
AWBL,HSNL,1
AWBL,RIAL,10
AWBL,RIGL,2
AWBL,SMBDL,2
AWBL,SMBVL,3
AWBR,ADFR,7
AWBR,AIMR,1
AWBR,AIYR,1
AWBR,AIZR,8
AWBR,ASER,1
AWBR,ASGR,1
AWBR,ASHR,2
AWBR,AVBR,2
AWBR,HSNL,2
AWBR,HSNR,2
AWBR,OLQVR,1
AWBR,RIAR,3
AWBR,RIFR,1
AWBR,RIR,7
AWBR,URYVR,1
AWCL,AFDL,2
AWCL,AIAL,2
AWCL,AIAR,4
AWCL,AIBL,12
AWCL,AIBR,2
AWCL,AIYL,22
AWCL,AIZL,1
AWCL,ASER,1
AWCL,ASGR,1
AWCL,ASIL,1
AWCL,AVAL,1
AWCL,AWCR,11
AWCL,RIAL,6
AWCL,SMDVL,1
AWCR,ADFR,1
AWCR,AIAL,1
AWCR,AIAR,8
AWCR,AIBL,3
AWCR,AIBR,18
AWCR,AIYL,12
AWCR,AIYR,22
AWCR,ASEL,8
AWCR,ASER,5
